p,n_scc,largest_scc
0.000786, 4, 9997
0.000787, 9, 9992
0.000788, 7, 9994
0.000789, 11, 9990
0.000790, 13, 9988
0.000791, 7, 9994
0.000792, 11, 9990
0.000793, 6, 9995
0.000794, 9, 9992
0.000795, 8, 9993
0.000796, 8, 9993
0.000797, 9, 9992
0.000798, 10, 9991
0.000799, 10, 9991
0.000800, 6, 9995
0.000801, 6, 9995
0.000802, 5, 9996
0.000803, 5, 9996
0.000804, 8, 9993
0.000805, 8, 9993
0.000806, 14, 9987
0.000807, 8, 9993
0.000808, 10, 9991
0.000809, 10, 9991
0.000810, 8, 9993
0.000811, 6, 9995
0.000812, 6, 9995
0.000813, 11, 9990
0.000814, 10, 9991
0.000815, 9, 9992
0.000816, 5, 9996
0.000817, 5, 9996
0.000818, 5, 9996
0.000819, 8, 9993
0.000820, 7, 9994
0.000821, 6, 9995
0.000822, 3, 9998
0.000823, 6, 9995
0.000824, 4, 9997
0.000825, 9, 9992
0.000826, 7, 9994
0.000827, 10, 9991
0.000828, 3, 9998
0.000829, 7, 9994
0.000830, 4, 9997
0.000831, 7, 9994
0.000832, 4, 9997
0.000833, 5, 9996
0.000834, 5, 9996
0.000835, 6, 9995
0.000836, 6, 9995
0.000837, 13, 9988
0.000838, 4, 9997
0.000839, 10, 9991
0.000840, 2, 9999
0.000841, 6, 9995
0.000842, 7, 9994
0.000843, 6, 9995
0.000844, 3, 9998
0.000845, 7, 9994
0.000846, 3, 9998
0.000847, 4, 9997
0.000848, 7, 9994
0.000849, 3, 9998
0.000850, 3, 9998
0.000851, 5, 9996
0.000852, 9, 9992
0.000853, 6, 9995
0.000854, 6, 9995
0.000855, 6, 9995
0.000856, 8, 9993
0.000857, 5, 9996
0.000858, 4, 9997
0.000859, 4, 9997
0.000860, 3, 9998
0.000861, 2, 9999
0.000862, 2, 9999
0.000863, 4, 9997
0.000864, 3, 9998
0.000865, 2, 9999
0.000866, 4, 9997
0.000867, 7, 9994
0.000868, 6, 9995
0.000869, 4, 9997
0.000870, 2, 9999
0.000871, 2, 9999
0.000872, 3, 9998
0.000873, 5, 9996
0.000874, 4, 9997
0.000875, 4, 9997
0.000876, 6, 9995
0.000877, 3, 9998
0.000878, 7, 9994
0.000879, 6, 9995
0.000880, 2, 9999
0.000881, 4, 9997
0.000882, 4, 9997
0.000883, 4, 9997
0.000884, 7, 9994
0.000885, 5, 9996
0.000886, 4, 9997
0.000887, 3, 9998
0.000888, 2, 9999
0.000889, 6, 9995
0.000890, 5, 9996
0.000891, 8, 9993
0.000892, 2, 9999
0.000893, 5, 9996
0.000894, 5, 9996
0.000895, 5, 9996
0.000896, 4, 9997
0.000897, 6, 9995
0.000898, 3, 9998
0.000899, 2, 9999
0.000900, 4, 9997
0.000901, 3, 9998
0.000902, 1, 10000
0.000903, 2, 9999
0.000904, 4, 9997
0.000905, 4, 9997
0.000906, 4, 9997
0.000907, 2, 9999
0.000908, 5, 9996
0.000909, 2, 9999
0.000910, 2, 9999
0.000911, 2, 9999
0.000912, 2, 9999
0.000913, 3, 9998
0.000914, 1, 10000
0.000915, 5, 9996
0.000916, 3, 9998
0.000917, 2, 9999
0.000918, 3, 9998
0.000919, 3, 9998
0.000920, 5, 9996
0.000921, 2, 9999
0.000922, 4, 9997
0.000923, 1, 10000
0.000924, 1, 10000
0.000925, 2, 9999
0.000926, 2, 9999
0.000927, 4, 9997
0.000928, 5, 9996
0.000929, 1, 10000
0.000930, 1, 10000
0.000931, 1, 10000
0.000932, 2, 9999
0.000933, 3, 9998
0.000934, 3, 9998
0.000935, 2, 9999
0.000936, 4, 9997
0.000937, 5, 9996
0.000938, 2, 9999
0.000939, 2, 9999
0.000940, 3, 9998
0.000941, 2, 9999
0.000942, 1, 10000
0.000943, 3, 9998
0.000944, 2, 9999
0.000945, 3, 9998
0.000946, 2, 9999
0.000947, 3, 9998
0.000948, 1, 10000
0.000949, 3, 9998
0.000950, 2, 9999
0.000951, 3, 9998
0.000952, 3, 9998
0.000953, 3, 9998
0.000954, 2, 9999
0.000955, 1, 10000
0.000956, 4, 9997
0.000957, 3, 9998
0.000958, 1, 10000
0.000959, 3, 9998
